input,target_url,topic,audience,impressions,clicks,ctr
multiple food and supplement products recalled nationwide due to salmonella risk,https://www.cdc.gov/salmonella/outbreaks/supergreenssupplementpowders-1-26/index.html,Salmonella Infection,,14021,44,0
cdc issued level two travel alert for seychelles islands,https://wwwnc.cdc.gov/travel/notices/level2/chikungunya-seychelles,Travelers' Health,,12673,193,2
dollar tree failed to remove recalled lead-contaminated applesauce causing harm,https://www.cdc.gov/lead-prevention/news/outbreak-applesauce-pouches.html,Lead Poisoning Prevention,,10943,105,1
multiple nationwide recalls issued for frozen foods and supplements due to contaminations,https://www.cdc.gov/media/releases/2026/2026-new-recall-in-salmonella-outbreak-linked-to-dietary-supplements-containing-moringa-leaf-powder.html,Salmonella Infection,,9122,8,0
cdc issued a level 2 travel alert for 32 countries,https://wwwnc.cdc.gov/travel/notices/level2/global-polio,Travelers' Health,,8864,107,1
cdc warns new world screwworm outbreak is spreading toward us border,https://www.cdc.gov/han/php/notices/han00526.html,New World Screwworm,,8742,131,1
cdc issued a level 2 travel alert for 32 countries,https://wwwnc.cdc.gov/travel/notices,Travelers' Health,,8735,77,1
multiple food and supplement products recalled nationwide due to salmonella risk,https://www.cdc.gov/salmonella/outbreaks/supergreenssupplementpowders-1-26/index.html,Salmonella Infection,,8510,69,1
cdc warns new world screwworm outbreak is spreading toward us border,https://www.cdc.gov/new-world-screwworm/situation-summary/index.html,New World Screwworm,,8187,172,2
cdc issued a health advisory regarding flesh-eating flies approaching the us border,https://www.cdc.gov/new-world-screwworm/situation-summary/index.html,New World Screwworm,,7522,150,2
cdc warns new world screwworm outbreak is spreading toward us border,https://www.cdc.gov/han/php/notices/han00526.html,New World Screwworm,,7119,98,1
"i work 9 to 9, living on snacks and coffee with zero steps. how do i stay fit and eat healthy?",https://archive.cdc.gov/www_cdc_gov/niosh/emres/longhourstraining/diet.html,Healthy Weight,,6156,10,0
cdc warns new world screwworm outbreak is spreading toward us border,https://www.cdc.gov/new-world-screwworm/situation-summary/index.html,New World Screwworm,,5521,37,1
holland america cruise ship had 81 passengers and 8 crew with norovirus,https://www.cdc.gov/vessel-sanitation/cruise-ship-outbreaks/rotterdam-december-2025.html,Norovirus Infection,,4934,28,1
raw farm declines to recall cheddar cheese linked to 7 e. coli cases,https://www.cdc.gov/ecoli/outbreaks/rawcheese-03-26/index.html,E. coli Infection,,4701,4,0
what was james van der beek diagnosed with? list common symptoms of colorectal cancer,https://www.cdc.gov/colorectal-cancer/symptoms/index.html,Colorectal (Colon) Cancer,,4492,80,2
cdc issued health advisory after screwworm cases rose near us border,https://www.cdc.gov/han/php/notices/han00526.html,New World Screwworm,,4446,60,1
cdc issued health advisory after screwworm cases rose near us border,https://www.cdc.gov/new-world-screwworm/situation-summary/index.html,New World Screwworm,,4303,73,2
"candida auris, a drug-resistant fungus, has been detected in connecticut, experts warn",https://www.cdc.gov/candida-auris/tracking-c-auris/index.html,Candida auris infection,,4033,7,0
cdc issued health advisory after screwworm cases rose near us border,https://www.cdc.gov/han/php/notices/han00526.html?acstrackingid=dm152200&acstrackinglabel=han%2520526%2520-%2520health%2520advisory%2520(general%2520public)&deliveryname=dm152200,New World Screwworm,,3919,15,0
manjit sangha lost her limbs after a dog lick caused sepsis,https://www.cdc.gov/capnocytophaga/about/index.html,Capnocytophaga infection,,3890,57,1
"detail common flu symptoms for adults including onset, severity, and duration.",https://www.cdc.gov/flu/signs-symptoms/index.html,Influenza,,3641,1,0
cdc issued a health advisory regarding flesh-eating flies approaching the us border,https://www.cdc.gov/han/php/notices/han00526.html,New World Screwworm,,3614,46,1
cdc issued health alert as screwworm outbreak moves closer to us border,https://www.cdc.gov/han/php/notices/han00526.html,New World Screwworm,,3454,51,1
how many people have died from the flu this year,https://www.cdc.gov/flu-burden/php/data-vis/2024-2025.html,Influenza,,3217,1,0
cdc issued level two travel alert for seychelles islands,https://wwwnc.cdc.gov/travel/notices/level2/chikungunya-seychelles,Travelers' Health,,3170,119,4
more than 150 people sickened by norovirus on a princess cruise ship,https://www.cdc.gov/vessel-sanitation/cruise-ship-outbreaks/star-princess-march-2026.html,Norovirus Infection,,3123,29,1
how many people have died from the flu this year,https://www.cdc.gov/fluview/surveillance/2025-week-51.html,Influenza,,3103,9,0
michigan reports first 2026 measles case; exposure sites listed,https://www.cdc.gov/measles/index.html,Measles,,3080,4,0
cdc issued level 2 chikungunya virus travel alerts for bolivia and seychelles,https://wwwnc.cdc.gov/travel/notices/level2/chikungunya-seychelles,Travelers' Health,,2689,22,1
cdc issued health alert as screwworm outbreak moves closer to us border,https://www.cdc.gov/new-world-screwworm/situation-summary/index.html,New World Screwworm,,2541,25,1
"norovirus: virus-ausbruch auf der ""star princess"" führte zu 150 magen-darm-erkrankungen",https://www.cdc.gov/vessel-sanitation/cruise-ship-outbreaks/star-princess-march-2026.html,Norovirus Infection,,2369,3,0
dollar tree failed to remove recalled lead-contaminated applesauce causing harm,https://www.cdc.gov/lead-prevention/news/outbreak-applesauce-pouches.html,Lead Poisoning Prevention,,2320,20,1
how many people have died from the flu this year,https://www.cdc.gov/fluview/surveillance/2025-week-49.html,Influenza,,2260,2,0
